length_inc,width_inc,height_inc,weight_kg,Expiry Date,Material Properties,Storage Requirements,Volume,volume_cm3,density
13.04,47.24,91.42,18.14,,Ceramic,Cool & Dry Place,56315.597632,56315.597632,0.0003221132468226241
22.57,62.23,70.43,15.18,2026-06-06,Silk,Freeze,98921.125373,98921.125373,0.00015345559346156913
55.19,77.75,106.66,37.65,,Metal,Away from Sunlight,457680.45985,457680.45985,8.22626336556719e-05
29.49,18.6,24.51,2.76,2027-02-19,Ceramic,Cool & Dry Place,13444.07814,13444.078140000001,0.0002052948496177068
70.27,36.11,176.53,3.24,,Cotton,Freeze,447935.9955409999,447935.9955409999,7.233176240026998e-06
68.1,56.02,191.74,0.67,,Rubber,Cool & Dry Place,731480.81388,731480.81388,9.159502030492272e-07
89.68,6.06,151.79,27.11,,Plastic,Room Temperature,82491.91483200001,82491.91483200001,0.0003286382678255345
74.45,84.18,18.22,0.32,,Metal,Refrigerated,114188.40222,114188.40222,2.802386177393699e-06
90.28,77.31,85.26,30.19,2025-10-18,Cotton,Room Temperature,595076.160168,595076.160168,5.073300195974387e-05
25.37,91.81,26.93,40.71,2026-02-20,Plastic,Room Temperature,62725.886521,62725.886521,0.000649014342529391
93.83,69.22,90.79,5.46,,Glass,Refrigerated,589673.114954,589673.114954,9.259367370726968e-06
19.9,63.34,141.19,17.56,,Plastic,Dry Place,177965.19454,177965.19454,9.867097915066286e-05
29.71,51.05,127.43,12.55,2025-12-09,Wood,Cool & Dry Place,193272.507565,193272.507565,6.493422245157799e-05
97.41,39.24,38.5,44.66,,Paper,Cool & Dry Place,147161.18339999998,147161.18339999998,0.0003034767658711285
26.32,7.75,24.49,7.14,,Silk,Away from Sunlight,4995.4702,4995.4702,0.0014292948839931025
95.65,57.16,69.98,33.21,,Leather,Cool & Dry Place,382605.4329200001,382605.43292000005,8.679960382827069e-05
10.53,59.33,155.79,42.93,,Metal,Away from Sunlight,97329.00797099998,97329.00797099998,0.00044108124489249253
87.64,67.28,168.41,19.83,2027-03-14,Wood,Freeze,993015.957472,993015.957472,1.996946761105714e-05
7.48,90.82,198.43,7.21,2026-10-21,Rubber,Refrigerated,134800.166248,134800.166248,5.348658091960605e-05
41.18,98.25,95.35,8.9,2026-11-27,Glass,Freeze,385779.90225,385779.90225,2.307014945074164e-05
9.92,67.44,166.97,6.52,,Wood,Refrigerated,111703.731456,111703.731456,5.836868576380747e-05
84.96,28.32,102.15,5.11,,Wood,Freeze,245779.76448,245779.76448,2.0790971180281278e-05
51.59,31.73,144.07,9.21,,Ceramic,Away from Sunlight,235835.487349,235835.487349,3.9052646840933767e-05
89.53,82.69,6.97,49.22,2025-11-28,Paper,Freeze,51600.552829,51600.552829,0.000953865749522317
55.71,70.76,60.68,38.97,,Rubber,Room Temperature,239202.962928,239202.96292800002,0.00016291604218853238
53.07,78.47,73.6,48.79,,Metal,Away from Sunlight,306500.05344,306500.05344,0.0001591843115601644
66.38,8.53,70.92,5.9,,Plastic,Dry Place,40156.421688,40156.421687999995,0.00014692544185935537
62.03,39.66,84.9,3.98,,Metal,Dry Place,208863.32202,208863.32202,1.9055523782289022e-05
96.07,21.92,10.83,22.01,2026-11-20,Wood,Refrigerated,22806.403152000003,22806.403152000003,0.0009650798441695459
29.7,18.16,130.85,3.77,2025-07-28,Leather,Cool & Dry Place,70574.2092,70574.2092,5.3418947838525694e-05
50.27,52.66,118.31,29.51,,Glass,Freeze,313192.385242,313192.385242,9.422323591040689e-05
64.62,68.82,64.69,14.22,,Silk,Room Temperature,287686.029996,287686.029996,4.942888606790436e-05
14.94,65.44,99.96,13.12,2026-11-28,Paper,Dry Place,97728.253056,97728.25305599999,0.00013424981609445132
76.75,7.4,191.4,49.75,2027-04-03,Cotton,Away from Sunlight,108705.63,108705.63,0.0004576579888272576
7.96,71.71,97.36,18.1,,Wood,Refrigerated,55574.217376,55574.217376,0.0003256905963702617
12.97,15.21,74.11,11.69,2027-03-23,Paper,Away from Sunlight,14619.953907,14619.953907000001,0.0007995921241860314
16.85,36.76,173.35,9.23,2026-07-25,Ceramic,Away from Sunlight,107374.0301,107374.0301,8.596119556473647e-05
77.72,90.55,134.83,17.15,,Leather,Refrigerated,948872.32718,948872.32718,1.8074085953132304e-05
54.3,36.63,176.35,20.07,2025-12-15,Rubber,Room Temperature,350761.73715,350761.73715,5.721832764050103e-05
94.77,66.0,36.32,29.11,,Metal,Dry Place,227175.0624,227175.0624,0.00012813906461592328
94.18,84.74,190.13,18.15,,Ceramic,Freeze,1517392.013716,1517392.0137160001,1.1961312459759004e-05
87.79,82.37,113.06,9.26,2026-02-13,Glass,Dry Place,817566.5156380001,817566.5156380001,1.1326295564800404e-05
96.0,99.66,6.3,38.56,,Ceramic,Refrigerated,60274.368,60274.368,0.0006397412578428031
97.47,11.11,69.53,25.47,,Ceramic,Cool & Dry Place,75293.459901,75293.459901,0.000338276392577647
32.47,89.23,15.45,15.47,2025-11-10,Metal,Dry Place,44763.255645,44763.255645,0.00034559595313367206
67.57,32.51,27.74,31.54,2027-01-14,Silk,Cool & Dry Place,60936.477418,60936.477417999995,0.0005175881727400839
9.45,82.73,143.37,28.06,,Plastic,Cool & Dry Place,112086.450945,112086.450945,0.00025034247907241555
91.25,75.64,136.04,45.57,2025-08-30,Silk,Freeze,938968.486,938968.4859999999,4.853198023091055e-05
49.27,20.51,34.95,30.66,,Plastic,Freeze,35317.94311500001,35317.94311500001,0.0008681139753854545
32.5,98.7,115.71,34.11,,Ceramic,Room Temperature,371168.7525,371168.7525,9.189889981377137e-05
64.08,38.99,127.5,9.46,2027-01-25,Ceramic,Room Temperature,318556.09800000006,318556.09800000006,2.969649634520573e-05
66.63,83.51,23.79,26.63,2026-05-15,Leather,Room Temperature,132374.014227,132374.014227,0.00020117241405351552
84.36,41.7,6.99,36.86,2026-11-19,Metal,Dry Place,24589.505880000004,24589.505880000004,0.0014990134482523402
23.59,50.27,148.35,29.73,2025-12-29,Rubber,Dry Place,175923.710655,175923.710655,0.000168993706927333
29.19,11.07,137.09,46.85,2025-11-14,Plastic,Dry Place,44298.344097,44298.344097,0.0010576016091575035
47.97,58.61,131.58,3.71,2026-04-08,Plastic,Room Temperature,369940.025286,369940.025286,1.0028652609654242e-05
92.7,53.31,115.26,34.45,,Leather,Dry Place,569596.13262,569596.13262,6.0481449973226823e-05
24.27,94.94,179.76,13.74,2025-06-11,Silk,Dry Place,414201.877488,414201.87748799997,3.317223012925157e-05
30.88,66.14,117.07,14.95,2026-10-15,Wood,Dry Place,239104.142624,239104.14262399997,6.252505638728905e-05
94.53,62.83,146.88,5.92,2026-12-24,Glass,Room Temperature,872367.306912,872367.306912,6.786132347113714e-06
7.06,79.29,189.99,0.36,2026-11-28,Ceramic,Dry Place,106354.00812600002,106354.00812600002,3.3849217941415033e-06
79.59,11.84,41.25,6.73,,Cotton,Away from Sunlight,38871.756,38871.756,0.00017313341851600428
53.65,51.61,71.87,1.21,2025-11-01,Cotton,Freeze,198999.154055,198999.154055,6.080427857826855e-06
25.97,38.15,115.01,11.01,2026-12-01,Silk,Freeze,113946.790055,113946.79005499999,9.662404701954024e-05
45.61,16.01,98.61,15.8,,Rubber,Room Temperature,72006.60962100001,72006.60962100001,0.0002194243012295928
82.18,86.89,44.21,33.52,,Leather,Refrigerated,315686.81904200005,315686.81904200005,0.00010618118330604227
27.59,8.37,29.6,36.08,,Leather,Freeze,6835.47768,6835.47768,0.0052783436197249055
95.9,35.06,26.72,32.88,2027-01-15,Metal,Dry Place,89839.42688,89839.42688,0.00036598630625636516
53.61,99.12,87.7,24.6,,Metal,Cool & Dry Place,466022.29464,466022.29464,5.278717409647404e-05
98.91,90.26,93.27,25.89,2027-04-03,Cotton,Freeze,832678.8002819999,832678.8002819999,3.1092421220802e-05
47.26,38.38,35.75,16.53,,Metal,Away from Sunlight,64844.7371,64844.7371,0.0002549166013967848
97.46,58.95,23.62,28.54,2026-02-09,Rubber,Room Temperature,135703.20654,135703.20654,0.0002103119058692804
55.29,25.31,5.98,34.53,2026-07-16,Ceramic,Cool & Dry Place,8368.351602,8368.351602,0.00412626065947653
66.62,99.23,119.53,35.41,2025-12-29,Paper,Refrigerated,790177.2817780001,790177.2817780001,4.481272850609291e-05
19.02,29.14,149.92,11.7,2025-09-11,Leather,Room Temperature,83092.080576,83092.080576,0.00014080764278490558
26.46,45.37,45.55,48.76,,Paper,Cool & Dry Place,54682.32861,54682.32861,0.0008916957496042523
56.09,33.1,195.17,4.64,2026-11-02,Plastic,Cool & Dry Place,362348.52343,362348.52343,1.2805350925892137e-05
71.99,64.26,51.19,12.08,2025-09-13,Rubber,Refrigerated,236808.902106,236808.902106,5.101159581658282e-05
63.02,51.49,184.7,20.16,,Metal,Refrigerated,599332.99306,599332.99306,3.363739395868993e-05
93.65,17.21,12.66,9.98,2026-09-27,Ceramic,Room Temperature,20404.330890000005,20404.330890000005,0.0004891118485483451
73.5,20.88,131.81,39.9,,Cotton,Refrigerated,202286.1708,202286.1708,0.00019724531757264347
62.02,13.54,149.72,38.24,2026-09-03,Wood,Refrigerated,125727.489776,125727.489776,0.00030414987261838736
37.25,57.2,106.32,0.6,2025-08-22,Paper,Cool & Dry Place,226536.024,226536.024,2.648585374659882e-06
13.48,18.15,97.08,44.45,2026-10-09,Wood,Refrigerated,23751.78696,23751.786959999998,0.0018714381395748259
14.84,74.63,6.21,4.62,,Metal,Room Temperature,6877.632132,6877.632132,0.0006717428195242124
12.91,15.47,105.26,12.2,2026-04-22,Paper,Refrigerated,21022.285102,21022.285102,0.0005803365305344149
95.33,20.55,16.98,13.49,2026-01-04,Cotton,Dry Place,33264.35487,33264.35487,0.0004055392041336769
57.92,94.4,147.03,24.51,2026-10-05,Paper,Away from Sunlight,803908.28544,803908.28544,3.0488552542514272e-05
15.72,60.28,91.49,0.7,,Silk,Room Temperature,86696.070384,86696.070384,8.07418371904878e-06
41.11,36.86,25.24,41.11,2026-05-27,Paper,Cool & Dry Place,38246.540504,38246.540504,0.001074868457598159
93.31,10.49,26.96,10.66,2026-11-12,Wood,Freeze,26389.038424,26389.038424000002,0.00040395560568455823
53.24,83.95,81.43,40.59,,Ceramic,Room Temperature,363951.2221400001,363951.2221400001,0.00011152593405603777
6.45,87.8,86.09,48.43,2026-01-26,Metal,Cool & Dry Place,48753.6279,48753.6279,0.0009933619729661186
29.72,77.84,144.68,43.72,,Wood,Cool & Dry Place,334703.406464,334703.406464,0.00013062311035876007
64.35,90.36,90.0,29.67,,Glass,Freeze,523319.94,523319.93999999994,5.669571849297392e-05
56.8,58.26,60.71,32.65,2026-03-18,Cotton,Freeze,200899.58928,200899.58928,0.00016251899825685896
48.28,51.64,85.92,42.86,,Glass,Away from Sunlight,214213.956864,214213.956864,0.00020008033382815912
45.97,7.28,135.15,19.86,2026-10-30,Leather,Refrigerated,45229.51524000001,45229.51524000001,0.0004390938062152
41.88,24.97,26.77,8.22,,Paper,Room Temperature,27994.556172,27994.556172,0.00029362851654071226
48.36,14.99,26.41,43.45,,Rubber,Away from Sunlight,19145.042124,19145.042124,0.0022695170748948936
48.1,79.01,38.94,40.61,2026-01-09,Metal,Room Temperature,147986.83614,147986.83614,0.000274416299849682
15.07,43.44,174.2,18.91,2026-01-25,Paper,Room Temperature,114038.42736,114038.42736,0.0001658212975903669
29.42,27.27,162.36,31.0,,Plastic,Freeze,130258.73282400002,130258.73282400002,0.00023798788248528306
22.26,22.8,110.35,16.91,2026-01-19,Rubber,Dry Place,56005.71480000001,56005.71480000001,0.00030193347340332484
79.34,53.36,129.42,0.15,,Leather,Away from Sunlight,547910.234208,547910.234208,2.7376747254378963e-07
45.52,90.37,156.39,33.26,,Cotton,Dry Place,643332.534936,643332.534936,5.16995460260824e-05
93.17,18.8,152.06,1.96,2025-05-25,Paper,Room Temperature,266347.68776,266347.68776,7.358802385272113e-06
83.72,81.19,74.13,45.41,,Silk,Dry Place,503878.42268399993,503878.42268399993,9.012094575932698e-05
82.45,43.38,94.99,29.56,,Wood,Refrigerated,339748.92819,339748.92819,8.700542532239857e-05
54.66,65.59,55.2,12.64,,Rubber,Refrigerated,197900.24688,197900.24688,6.387056205980616e-05
66.11,87.82,136.54,27.6,,Rubber,Away from Sunlight,792721.2285079998,792721.2285079998,3.4816779225083506e-05
15.05,77.32,8.6,38.38,,Paper,Cool & Dry Place,10007.5276,10007.5276,0.0038351130802776905
52.43,58.59,47.1,8.8,,Ceramic,Dry Place,144685.25127,144685.25127,6.0821679630483875e-05
56.74,45.65,160.26,46.06,,Cotton,Room Temperature,415102.40706,415102.40706,0.00011096057073295258
8.06,50.93,67.13,19.16,2026-04-09,Silk,Room Temperature,27556.583054,27556.583054,0.0006952966542496935
59.76,61.48,48.6,19.53,,Metal,Refrigerated,178558.57728,178558.57728,0.00010937587147871791
75.13,52.43,132.37,17.99,,Leather,Away from Sunlight,521414.153183,521414.153183,3.450232390160317e-05
55.87,13.25,98.51,35.29,,Metal,Away from Sunlight,72924.736525,72924.736525,0.00048392358590012744
86.54,26.35,137.93,30.49,,Ceramic,Cool & Dry Place,314525.77897000004,314525.77897000004,9.693958981628715e-05
83.59,76.04,194.11,27.5,2026-01-01,Plastic,Freeze,1233798.7985960003,1233798.7985960003,2.2288885376848792e-05
32.36,52.06,5.98,24.11,,Silk,Cool & Dry Place,10074.276368,10074.276368,0.0023932240013370258
68.75,68.61,135.99,20.04,2026-09-26,Paper,Refrigerated,641456.3306250001,641456.3306250001,3.124140965367684e-05
50.87,86.62,88.05,46.74,,Paper,Room Temperature,387979.94517,387979.94517,0.00012047014435119855
73.2,93.14,72.43,3.99,,Plastic,Dry Place,493816.73064,493816.73064,8.079920651592446e-06
6.65,53.14,82.81,23.73,,Plastic,Cool & Dry Place,29263.48061,29263.480610000002,0.0008109083234579729
72.65,82.7,110.62,49.46,2026-10-23,Rubber,Freeze,664622.1061000001,664622.1061000001,7.441822886426557e-05
19.83,89.26,22.8,42.7,,Wood,Away from Sunlight,40356.58824,40356.58824,0.0010580676380784167
18.53,21.28,50.6,8.26,,Wood,Freeze,19952.511040000005,19952.511040000005,0.0004139829810614152
20.38,33.52,145.65,38.27,,Leather,Dry Place,99498.99144,99498.99144000001,0.00038462701426554276
76.9,5.6,93.28,6.88,,Wood,Dry Place,40170.0992,40170.0992,0.00017127167064601127
23.71,82.55,187.08,42.88,,Glass,Refrigerated,366164.29434,366164.29434,0.00011710590208499137
16.45,39.41,30.07,13.8,2025-11-01,Rubber,Away from Sunlight,19494.215615,19494.215615,0.0007079022963807513
85.29,17.82,87.27,11.35,2025-09-20,Wood,Cool & Dry Place,132638.86290600002,132638.86290600002,8.557069739088191e-05
62.38,62.32,36.28,32.45,,Rubber,Away from Sunlight,141039.283648,141039.283648,0.00023007774260246078
32.05,84.38,69.01,30.31,2027-01-12,Glass,Refrigerated,186629.19479,186629.19478999998,0.00016240760205875397
57.28,10.38,124.64,17.97,2025-08-26,Cotton,Cool & Dry Place,74106.75609600001,74106.75609600001,0.00024248801251968374
30.33,79.8,181.0,11.27,,Ceramic,Away from Sunlight,438080.454,438080.45399999997,2.5725868152976305e-05
69.2,41.37,136.68,4.44,2025-10-08,Plastic,Away from Sunlight,391288.05072000006,391288.05072000006,1.1347139254137865e-05
41.48,17.47,167.21,7.54,,Plastic,Refrigerated,121169.662876,121169.662876,6.222679688162641e-05
13.9,75.27,127.75,15.25,2025-06-06,Paper,Away from Sunlight,133658.82074999998,133658.82074999998,0.00011409647275374454
44.49,76.32,125.91,7.96,2026-09-20,Ceramic,Cool & Dry Place,427524.483888,427524.48388799996,1.8618816699361968e-05
62.09,8.45,24.66,48.68,,Paper,Dry Place,12938.12793,12938.127929999999,0.003762522697516719
98.26,70.61,146.84,44.1,2026-03-04,Metal,Refrigerated,1018796.272024,1018796.2720240001,4.328637747406395e-05
46.54,69.76,92.0,6.44,,Cotton,Dry Place,298689.9968,298689.9968,2.1560815792274967e-05
82.4,55.71,166.31,46.06,2027-03-18,Wood,Cool & Dry Place,763446.7202400002,763446.7202400002,6.03316495819386e-05
51.14,70.86,84.38,10.43,2026-05-05,Metal,Dry Place,305774.590152,305774.590152,3.41100939578245e-05
50.79,48.69,50.22,44.66,,Leather,Refrigerated,124192.307322,124192.307322,0.00035960359351572106
27.73,84.97,160.67,18.87,2025-08-24,Metal,Dry Place,378573.562127,378573.56212699995,4.9845002102047704e-05
45.36,25.82,177.94,30.69,,Glass,Away from Sunlight,208402.473888,208402.47388799998,0.00014726312709940992
14.09,8.95,189.2,25.49,,Rubber,Room Temperature,23859.1606,23859.160599999996,0.0010683527567185245
86.6,83.79,144.5,1.31,2025-09-16,Wood,Away from Sunlight,1048522.923,1048522.923,1.2493765956512141e-06
53.17,97.38,159.35,39.01,,Wood,Away from Sunlight,825065.6345099999,825065.6345099999,4.728108694427412e-05
54.26,83.39,123.74,4.93,,Paper,Room Temperature,559891.500836,559891.500836,8.805277437930007e-06
17.13,43.56,191.19,6.61,2025-11-18,Wood,Away from Sunlight,142662.68953200002,142662.68953200002,4.633306733304885e-05
69.59,83.94,71.85,39.56,2025-09-02,Glass,Freeze,419703.48351,419703.48351,9.42570208594836e-05
22.99,60.17,195.22,25.67,2026-10-11,Plastic,Away from Sunlight,270049.446326,270049.446326,9.505666591521736e-05
99.12,68.12,115.83,7.81,2027-01-26,Leather,Freeze,782090.4611520001,782090.4611520001,9.986057096893959e-06
35.64,95.94,85.69,11.72,,Metal,Refrigerated,292999.95410399995,292999.95410399995,4.000000626566652e-05
38.04,39.64,83.62,8.68,2025-06-18,Rubber,Room Temperature,126091.066272,126091.06627200001,6.883913552825189e-05
71.08,23.01,12.22,37.6,2025-06-28,Paper,Cool & Dry Place,19986.430776,19986.430776,0.0018812763730255745
18.71,59.48,130.75,49.59,,Glass,Cool & Dry Place,145507.8571,145507.8571,0.00034080633849153155
66.44,85.8,197.17,23.39,2026-04-20,Plastic,Dry Place,1123977.83784,1123977.83784,2.081001885673266e-05
97.13,30.7,71.26,1.03,,Silk,Refrigerated,212489.55266,212489.55266,4.84729713581769e-06
51.08,79.37,166.72,36.79,2026-07-18,Ceramic,Cool & Dry Place,675919.491712,675919.491712,5.4429559216907024e-05
50.7,55.34,33.07,16.83,,Glass,Dry Place,92785.75566,92785.75566000001,0.00018138560041124307
83.45,21.03,183.91,6.95,2026-12-02,Wood,Freeze,322753.49818500003,322753.49818500003,2.153346141585833e-05
81.28,65.64,75.35,11.46,2027-02-16,Wood,Cool & Dry Place,402008.76672,402008.76672,2.8506841016185887e-05
19.62,42.87,179.29,9.61,,Rubber,Room Temperature,150802.504326,150802.504326,6.372573216175118e-05
53.7,16.55,124.13,34.59,2027-01-29,Cotton,Freeze,110318.67555,110318.67555000001,0.0003135461863329087
64.22,72.09,117.04,32.07,2026-12-03,Wood,Cool & Dry Place,541850.7013920001,541850.7013920001,5.918604500762483e-05
31.25,33.24,156.93,42.19,,Silk,Cool & Dry Place,163011.0375,163011.0375,0.0002588168301180219
98.57,7.67,136.99,37.41,,Rubber,Away from Sunlight,103568.809981,103568.809981,0.00036120913242956995
56.51,62.19,18.1,0.34,,Rubber,Room Temperature,63609.85989,63609.85989,5.345083302933841e-06
68.06,82.68,148.72,43.29,,Leather,Dry Place,836877.3029760001,836877.3029760001,5.17280129907424e-05
69.26,64.96,16.93,12.14,2026-03-11,Metal,Freeze,76170.264128,76170.264128,0.00015937978079739082
50.68,63.27,139.37,29.45,,Silk,Refrigerated,446893.194132,446893.19413200003,6.589941486399383e-05
23.76,53.0,175.45,17.62,,Metal,Freeze,220940.676,220940.67599999998,7.974991440688814e-05
22.72,81.53,178.94,12.97,2026-12-18,Wood,Cool & Dry Place,331461.584704,331461.584704,3.912972301626567e-05
24.99,79.11,168.32,19.68,2026-10-06,Metal,Away from Sunlight,332761.722048,332761.72204799997,5.914141770537302e-05
91.02,61.39,175.73,28.51,2025-09-19,Leather,Freeze,981929.6489939998,981929.6489939998,2.903466661711344e-05
21.84,95.95,9.23,2.31,2025-06-13,Leather,Room Temperature,19341.90804,19341.908040000002,0.00011942978920294773
91.98,43.58,130.71,41.02,2026-02-28,Plastic,Dry Place,523949.518764,523949.51876400004,7.828998506719964e-05
44.69,44.52,174.05,4.17,,Cotton,Freeze,346289.67114,346289.67114,1.2041941609959623e-05
77.1,32.74,123.21,2.65,,Rubber,Cool & Dry Place,311013.33534,311013.33534,8.520534970318935e-06
60.21,48.92,154.83,7.73,,Ceramic,Freeze,456047.6155560001,456047.6155560001,1.6949984467248685e-05
32.23,22.82,123.2,20.89,,Silk,Away from Sunlight,90612.19552,90612.19552,0.0002305429184241446
88.86,91.42,59.54,34.61,,Plastic,Cool & Dry Place,483678.024648,483678.024648,7.155586616776245e-05
7.26,51.06,120.89,3.86,2025-09-29,Leather,Freeze,44813.391084,44813.391084,8.61349678439791e-05
90.34,28.83,173.82,49.9,,Cotton,Freeze,452714.572404,452714.572404,0.00011022397563882595
39.46,43.25,69.35,19.86,,Ceramic,Dry Place,118355.83075,118355.83075,0.00016779908411905596
18.7,28.09,19.63,37.5,2026-08-11,Ceramic,Freeze,10311.30529,10311.30529,0.0036367849603258133
57.0,25.37,156.77,20.0,,Cotton,Cool & Dry Place,226703.5293,226703.52930000002,8.822094680993569e-05
97.61,83.57,118.74,7.0,2027-01-04,Rubber,Away from Sunlight,968593.966698,968593.9666979999,7.226970475423729e-06
97.71,90.05,41.61,33.2,,Leather,Away from Sunlight,366117.464655,366117.464655,9.068127911156885e-05
14.44,86.28,11.58,2.12,2026-06-03,Metal,Dry Place,14427.327456,14427.327455999999,0.00014694336192655973
50.96,15.4,11.03,30.24,,Plastic,Refrigerated,8656.167519999999,8656.167519999999,0.003493462889914127
59.42,64.64,133.2,7.84,,Metal,Freeze,511609.05216,511609.05215999996,1.5324201100234105e-05
43.05,78.2,145.31,47.34,2026-11-20,Leather,Room Temperature,489187.5681,489187.5681,9.677269637874922e-05
54.0,5.78,31.16,7.02,2025-05-25,Metal,Dry Place,9725.6592,9725.6592,0.0007218019730734549
16.19,97.95,19.01,46.4,2026-06-06,Leather,Dry Place,30146.25760500001,30146.257605000006,0.0015391628575582852
64.55,93.45,49.0,1.07,,Ceramic,Cool & Dry Place,295577.6775,295577.6775,3.62002979741256e-06
97.59,21.99,177.48,34.88,2026-05-20,Plastic,Room Temperature,380872.807668,380872.807668,9.157912903670528e-05
47.3,5.61,150.42,14.98,2026-09-14,Metal,Room Temperature,39914.39826,39914.398259999994,0.0003753031650989996
44.09,45.12,101.55,31.53,2026-10-31,Wood,Cool & Dry Place,202017.55824,202017.55823999998,0.00015607554251567516
66.64,59.78,67.01,16.59,2027-02-26,Silk,Dry Place,266950.36379200005,266950.36379200005,6.214638468493134e-05
74.85,56.42,106.99,23.33,2026-08-11,Leather,Refrigerated,451822.7286299999,451822.7286299999,5.1635295264451075e-05
93.56,57.68,197.23,10.55,,Cotton,Cool & Dry Place,1064359.741984,1064359.741984,9.91206223220588e-06
38.65,99.6,194.35,4.22,2025-12-17,Plastic,Dry Place,748158.0989999999,748158.0989999999,5.640519036872714e-06
67.27,48.56,17.14,13.36,2026-01-25,Wood,Away from Sunlight,55990.058768,55990.058767999995,0.00023861378776826077
77.99,38.69,77.55,25.01,,Wood,Room Temperature,234001.936905,234001.93690499998,0.00010687945719933742
55.5,68.43,53.94,0.73,,Leather,Freeze,204856.8381,204856.8381,3.5634641575579408e-06
47.76,8.7,51.42,5.03,,Cotton,Freeze,21365.62704,21365.62704,0.00023542487148086062
39.1,90.78,37.58,3.01,,Plastic,Room Temperature,133390.13483999998,133390.13483999998,2.2565386890195907e-05
13.44,96.37,124.57,36.01,,Plastic,Refrigerated,161344.658496,161344.658496,0.00022318681222962674
93.22,99.3,131.11,22.87,2025-08-24,Leather,Freeze,1213651.96806,1213651.96806,1.8843952468974502e-05
10.47,46.01,111.95,24.74,2025-07-11,Plastic,Away from Sunlight,53929.080165,53929.080165,0.0004587506392526285
62.77,70.81,37.19,41.29,,Leather,Refrigerated,165300.018203,165300.01820299999,0.000249788236255927
94.4,88.84,66.64,14.68,,Metal,Away from Sunlight,558876.0934400001,558876.0934400001,2.6267002958815983e-05
60.98,84.36,18.44,44.97,,Silk,Room Temperature,94860.390432,94860.390432,0.00047406509498014796
63.26,75.0,41.1,31.87,2027-01-20,Silk,Away from Sunlight,194998.95,194998.95,0.00016343677748008385
31.78,14.03,131.58,5.61,2026-08-30,Glass,Cool & Dry Place,58668.02197200001,58668.02197200001,9.562279094184286e-05
97.6,13.0,80.55,0.81,2027-03-31,Ceramic,Refrigerated,102201.84,102201.84,7.925493317928523e-06
44.54,62.64,99.17,21.25,2026-12-04,Glass,Room Temperature,276682.871952,276682.871952,7.680273032472545e-05
35.64,23.14,35.26,43.82,2026-09-07,Glass,Freeze,29079.260496,29079.260496,0.0015069158999427674
90.6,44.17,114.89,1.56,2026-11-12,Paper,Freeze,459767.03178,459767.03177999996,3.3930227531983313e-06
11.99,26.47,133.04,5.06,,Silk,Refrigerated,42223.60991199999,42223.60991199999,0.00011983816662160718
70.04,93.81,24.93,9.05,,Rubber,Cool & Dry Place,163801.37833200002,163801.37833200002,5.524984033807733e-05
22.99,37.76,186.18,17.42,,Paper,Freeze,161623.304832,161623.304832,0.00010778148620403037
13.78,51.24,135.56,11.51,,Silk,Cool & Dry Place,95717.180832,95717.180832,0.00012025009407874242
57.04,20.32,167.2,40.3,2027-03-01,Wood,Dry Place,193793.62816,193793.62815999996,0.00020795317360345562
56.97,22.41,42.04,46.17,,Paper,Room Temperature,53672.371308,53672.371307999994,0.0008602191197227437
69.7,12.41,142.47,16.79,,Ceramic,Cool & Dry Place,123233.27319,123233.27319,0.0001362456710381564
61.38,87.09,199.04,46.5,,Metal,Cool & Dry Place,1063985.079168,1063985.079168,4.370362038945265e-05
28.4,30.61,68.25,26.63,,Wood,Refrigerated,59331.363,59331.363,0.000448835129575567
22.05,70.89,95.77,8.61,2026-08-21,Leather,Dry Place,149700.433365,149700.433365,5.751486356092954e-05
94.81,63.6,21.32,26.89,,Metal,Refrigerated,128557.80912,128557.80912,0.00020916660126729452
11.76,31.19,128.21,29.97,,Leather,Cool & Dry Place,47026.710024,47026.710024,0.0006372973993865372
82.36,34.11,34.98,9.73,2027-02-09,Rubber,Refrigerated,98269.300008,98269.30000799999,9.901362886687797e-05
37.64,22.27,7.91,6.73,,Silk,Cool & Dry Place,6630.500548,6630.500548,0.001015006325884403
14.69,70.88,96.57,49.45,,Rubber,Freeze,100551.31070399996,100551.31070399997,0.0004917887161667089
63.28,74.33,44.42,37.11,2025-10-02,Wood,Dry Place,208934.018608,208934.01860799998,0.00017761588202458035
54.09,72.39,11.68,26.42,2025-09-03,Wood,Room Temperature,45733.91716800001,45733.91716800001,0.0005776894181827499
86.21,64.27,120.29,32.6,2025-08-21,Silk,Away from Sunlight,666492.8118429999,666492.8118429999,4.891275557774404e-05
75.86,14.95,136.54,37.47,,Metal,Refrigerated,154850.96977999998,154850.96977999998,0.00024197459049326209
51.44,96.1,77.08,18.91,,Paper,Freeze,381036.0387199999,381036.0387199999,4.962785164238967e-05
64.37,8.18,21.44,16.71,2025-06-15,Leather,Dry Place,11289.159104,11289.159104,0.0014801811052586968
51.38,19.03,161.43,44.46,,Metal,Freeze,157840.02280200002,157840.02280200002,0.0002816776075594728
43.68,87.19,199.22,15.77,2026-04-16,Cotton,Cool & Dry Place,758721.2418239999,758721.2418239999,2.0784972306941364e-05
63.7,90.1,97.36,44.08,,Paper,Dry Place,558785.0632,558785.0632,7.888543002127978e-05
53.56,63.12,44.67,35.54,,Paper,Freeze,151016.190624,151016.190624,0.00023533900473285982
